Num student,1. What is your age?,2. What is your gender?,3. Faculty,4. Year of Study,1. How many hours do you spend playing video games per day,2. How often do you play video games?,3. Do video games contribute to you to neglect your studies or responsibilities?,4. Do you often find yourself thinking about video games even when you are not playing?  ,5.  Do you feel that your gaming habits have negatively affected your academic performance?  ,1. Pointer CGPA,2. Class attendance,3. How many hours do you spend studying per day,4. How often do you complete your assignments on time?,5. How would you rate your overall academic performance?   
1,21-23,Male,Faculty of Computer Science and Information Technology (FSKTM),Year 1,Less than 1 hour,2,2,1,1,3.51 - 4.00,5,4 hours above,5,5
2,21-23,Female,Faculty of Electronic and Electronics Engineering (FKEE),Year 1,5 hours above,5,5,5,5,2.01 - 2.50,3,1 - 2 hours,2,2
3,18-20,Male,Faculty of Computer Science and Information Technology (FSKTM),Year 2,4 - 5 hours,4,4,4,4,1.00 - 2.00,2,1 - 2 hours,1,1
4,21-23,Female,Faculty of Civil Engineering and Built Environment (FKAAB),Year 3,3 hours - 4 hours,3,3,4,2,2.51 - 3.00,4,2 - 3 hours,2,3
5,21-23,Male,Faculty of Electronic and Electronics Engineering (FKEE),Year 1,1 hours - 2 hours,1,2,1,2,3.01 - 3.50,4,4 hours above,5,4
6,21-23,Male,Faculty of Technology and Business Management (FPTP),Year 1,1 hours - 2 hours,2,2,1,1,2.01 - 2.50,3,1 - 2 hours,3,3
7,24-26,Male,Faculty of Computer Science and Information Technology (FSKTM),Year 1,5 hours above,4,5,4,4,1.00 - 2.00,2,1 - 2 hours,2,1
8,Below 18,Male,Faculty of Technology and Business Management (FPTP),Year 1,4 - 5 hours,4,3,5,5,3.01 - 3.50,4,3 - 4 hours,5,5
9,27-29,Female,Faculty of Technical and Vocational Education (FPTV),Year 4,1 hours - 2 hours,2,1,2,3,3.01 - 3.50,5,3 - 4 hours,4,5
10,21-23,Male,Faculty of Technology and Business Management (FPTP),Year 1,5 hours above,4,3,4,3,2.51 - 3.00,3,1 - 2 hours,3,2
11,21-23,Male,Faculty of Computer Science and Information Technology (FSKTM),Year 3,4 - 5 hours,4,5,4,5,1.00 - 2.00,2,1 - 2 hours,2,1
12,21-23,Male,Faculty of Computer Science and Information Technology (FSKTM),Year 1,1 hours - 2 hours,2,1,1,1,3.51 - 4.00,5,4 hours above,4,4
13,21-23,Female,Faculty of Technical and Vocational Education (FPTV),Year 1,1 hours - 2 hours,1,2,1,2,3.01 - 3.50,4,3 - 4 hours,4,5
14,18-20,Male,Faculty of Computer Science and Information Technology (FSKTM),Year 2,Less than 1 hour,2,1,1,2,3.01 - 3.50,4,3 - 4 hours,4,5
15,24-26,Female,Faculty of Civil Engineering and Built Environment (FKAAB),Year 2,5 hours above,5,5,5,5,2.01 - 2.50,3,1 hour,1,1
16,18-20,Male,Faculty of Technical and Vocational Education (FPTV),Year 3,4 - 5 hours,5,5,4,5,2.01 - 2.50,2,1 - 2 hours,2,1
17,Below 18,Male,Faculty of Mechanical and Manufacturing Engineering (FKMP),Year 1,4 - 5 hours,4,3,5,5,2.01 - 2.50,2,1 - 2 hours,1,2
18,24-26,Female,Faculty of Computer Science and Information Technology (FSKTM),Year 4,Less than 1 hour,1,1,1,5,3.01 - 3.50,4,2 - 3 hours,4,3
19,21-23,Female,Faculty of Civil Engineering and Built Environment (FKAAB),Year 1,1 hours - 2 hours,2,2,1,2,3.01 - 3.50,3,2 - 3 hours,5,4
20,21-23,Male,Faculty of Computer Science and Information Technology (FSKTM),Year 2,4 - 5 hours,5,5,5,5,1.00 - 2.00,1,1 hour,2,1
21,21-23,Male,Faculty of Electronic and Electronics Engineering (FKEE),Year 1,3 hours - 4 hours,4,2,2,4,3.01 - 3.50,4,2 - 3 hours,3,3
22,21-23,Male,Faculty of Electronic and Electronics Engineering (FKEE),Year 2,Less than 1 hour,2,3,2,1,3.01 - 3.50,4,3 - 4 hours,4,5
23,21-23,Female,Faculty of Electronic and Electronics Engineering (FKEE),Year 1,Less than 1 hour,1,1,1,5,3.51 - 4.00,5,4 hours above,5,5
24,27-29,Male,Faculty of Mechanical and Manufacturing Engineering (FKMP),Year 4,4 - 5 hours,4,3,5,4,1.00 - 2.00,2,1 - 2 hours,2,1
25,21-23,Female,Faculty of Mechanical and Manufacturing Engineering (FKMP),Year 1,4 - 5 hours,4,3,4,5,1.00 - 2.00,2,1 - 2 hours,1,2
26,24-26,Male,Faculty of Technology and Business Management (FPTP),Year 2,3 hours - 4 hours,3,4,3,5,2.51 - 3.00,3,2 - 3 hours,3,3
27,27-29,Male,Faculty of Technical and Vocational Education (FPTV),Year 1,4 - 5 hours,4,5,3,5,1.00 - 2.00,2,2 - 3 hours,1,2
28,Below 18,Female,Faculty of Mechanical and Manufacturing Engineering (FKMP),Year 2,1 hours - 2 hours,2,1,1,1,3.01 - 3.50,4,3 - 4 hours,4,5
29,24-26,Male,Faculty of Technical and Vocational Education (FPTV),Year 2,3 hours - 4 hours,3,2,2,5,3.01 - 3.50,4,2 - 3 hours,2,3
30,18-20,Female,Faculty of Electronic and Electronics Engineering (FKEE),Year 2,4 - 5 hours,4,5,4,5,2.01 - 2.50,2,1 - 2 hours,2,1
31,24-26,Male,Faculty of Electronic and Electronics Engineering (FKEE),Year 2,3 hours - 4 hours,2,1,1,5,2.51 - 3.00,3,2 - 3 hours,4,4
32,21-23,Male,Faculty of Electronic and Electronics Engineering (FKEE),Year 2,4 - 5 hours,4,5,4,4,2.01 - 2.50,2,1 - 2 hours,1,2
33,27-29,Female,Faculty of Computer Science and Information Technology (FSKTM),Year 3,Less than 1 hour,2,1,2,1,3.01 - 3.50,4,3 - 4 hours,4,5
34,21-23,Female,Faculty of Technology and Business Management (FPTP),Year 2,3 hours - 4 hours,3,1,1,5,3.51 - 4.00,4,3 - 4 hours,3,4
35,24-26,Male,Faculty of Technical and Vocational Education (FPTV),Year 3,4 - 5 hours,4,3,5,4,1.00 - 2.00,2,1 - 2 hours,2,1
36,27-29,Male,Faculty of Electronic and Electronics Engineering (FKEE),Year 1,1 hours - 2 hours,2,1,2,3,3.01 - 3.50,4,2 - 3 hours,3,4
37,24-26,Male,Faculty of Electronic and Electronics Engineering (FKEE),Year 3,5 hours above,5,5,5,5,2.01 - 2.50,4,1 hour,5,2
38,18-20,Female,Faculty of Mechanical and Manufacturing Engineering (FKMP),Year 1,Less than 1 hour,2,1,2,2,3.01 - 3.50,4,4 hours above,4,5
39,24-26,Male,Faculty of Technical and Vocational Education (FPTV),Year 2,1 hours - 2 hours,3,1,2,5,3.01 - 3.50,4,2 - 3 hours,5,2
40,27-29,Female,Faculty of Technology and Business Management (FPTP),Year 2,1 hours - 2 hours,2,1,1,5,3.01 - 3.50,4,3 - 4 hours,4,4
